"success","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time","version","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","slider_start","image_name","view_history","value","thumbnail_name","attention_check","calculated_reaction_time","onset_time","question_order"
"true","fullscreen","0","16530","0.0-0.0","7df33","20210929","1419","V4-20210927","","","","","","","","","","","","","","","",""
"true","preload","1","19484","0.0-1.0","7df33","20210929","1419","V4-20210927","false","[]","[]","[]","","","","","","","","","","","",""
"","html-button-response","2","40673","0.0-2.0","7df33","20210929","1419","V4-20210927","","","","","21183","
        <div class=""consentBox"">
        <h1>Consent to Participate in the Aesthetics Study</h1>

        <p>This is a psychology experiment being conducted by Dr. Peter Dayan, 
        director of the Max Planck Institute for Biological Cybernetics, and the 
        members of his lab. In order to consent to participate, you MUST meet the 
        following criteria:</p>

        <p>
        - 18 years of age or older<br>
        - Fluent speaker of English<br>
        - Have not previously participated in this experiment<br></p>

        <p>This study is designed to look at how people learn how to make decisions 
        to accomplish their goals. In this task, you will be asked to make choices, 
        play games, and answer questions related to those games. The study will take 
        about 40 minutes and will pay $12/hour plus a attention-dependent bonus of 
        up to a maximum of $1. The performance bonus is explained in more detail in 
        the instructions that follow.</p> 

        <p>Your participation in this research is voluntary. You may refrain from 
        answering any questions that make you uncomfortable and may withdraw your 
        participation at any time without penalty by exiting this task and alerting 
        the experimenter. You may choose not to complete certain parts of the task 
        or answer certain questions. You may contact us at the address provided 
        below if you have additional questions or concerns.</p> 

        <p>Other than monetary compensation, participating in this study will 
        provide no direct benefits to you. But we hope that this research will 
        benefit society at large by contributing towards establishing a scientific 
        foundation for improving people's learning and cognitive control abilities.</p>

        <p>Your online username may be connected to your individual responses, but 
        we will not be asking for any additional personally identifying information, 
        and we will handle responses as confidentially as possible. We cannot however 
        guarantee the confidentiality of information transmitted over the Internet. 
        We will be keeping de-identified data collected as part of this experiment 
        indefinitely. Data used in scientific publications will remain completely 
        anonymous.</p>

        <p>If you have any questions about the study, feel free to contact our lab. 
        Dr. Dayan and his lab members can be reached at kyblab.tuebingen+aesthetics@gmail.com</p>

        <p>By selecting the 'consent' option below, I acknowledge that I am 18 years or 
        older, that I am a fluent speaker of English, that I have read this consent 
        form, and that I agree to take part in the research.</p>
        </div>
    ","0","","","","","","","","",""
"","html-button-response","3","72458","0.0-3.0","7df33","20210929","1419","V4-20210927","","","","","31779.69999998808","
        <div class=""introBox"">
        <h1>Overview</h1>

        <p>Thank you for participating in our study.<br> 
        This study consists of four main parts and will take about 45 minutes in
        total to complete.</p>

        <p>In the first part, you will see a series of images. We will ask you
        to tell us your opinion on each of them. <i>(~ 7 min)</i></p>

        <p>In the second part, we will show you the images from the first part again.
        You will be free to view each image for as long as you want before moving
        on to the next. <i>(15 min)</i></p>
        
        <p>The third part will be the same task as the first part. <i>(~ 7 min)</i></p>
        
        <p>At the end of the study, we will also ask you some questions about
        yourself. <i>(~ 10 min)</i></p>

        <p>We will give you detailed instructions before the start of each part of 
        the study.<br> 
        We ask you not to take breaks during each of the study's individual parts. 
        Please feel free to take breaks as needed between the three parts of this 
        study.</p>
        
        <p>Click on the button below to start the experiment.</p>
        </div>","0","","","","","","","","",""
"","html-button-response","4","106356","0.0-4.0","7df33","20210929","1419","V4-20210927","","","","","33894.90000000596","
        <div class=""introBox"">
        <h1>Rating</h1>

        <p>In the first part of the study, you will rate several different images 
        according to how much you like them. You will use a slider ranging from
        'not at all' to 'very much' to indicate how much you like each image. Please
        try to use the full range of the slider. That is, rate the image you like
        the least 'not at all' and the image you liked the most 'very much'.</p>

        <p>Focus on your own impression. It does not matter how others would judge 
        them. It also does not matter what the image depicts. Simply tell us how 
        much you like the image.<br>
        Again, there are no right or wrong answers. We simply want to know your 
        personal opinion.</p>

        <p>Click on 'Continue' to start the ratings.</p>
        </div>","0","","","","","","","","",""
"","html-slider-response","5","111347","0.0-5.0-0.0","7df33","20210929","1419","V4-20210927","","","","","4981.100000008941","<img src='images/experiment/pair_101_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","380","343","images/experiment/pair_101_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","6","115940","0.0-5.0-0.1","7df33","20210929","1419","V4-20210927","","","","","4586.5999999940395","<img src='images/experiment/pair_92_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","409","437","images/experiment/pair_92_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","7","122486","0.0-5.0-0.2","7df33","20210929","1419","V4-20210927","","","","","6540.5999999940395","<img src='images/experiment/101_start.png' height = '350'><br>How much do you like this image?","453","197","images/experiment/101_start.png","","","","","","",""
"","html-slider-response","8","127332","0.0-5.0-0.3","7df33","20210929","1419","V4-20210927","","","","","4840","<img src='images/experiment/pair_101_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","443","311","images/experiment/pair_101_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","9","130938","0.0-5.0-0.4","7df33","20210929","1419","V4-20210927","","","","","3598","<img src='images/experiment/pair_5_101_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","359","144","images/experiment/pair_5_101_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","10","135053","0.0-5.0-0.5","7df33","20210929","1419","V4-20210927","","","","","4109.0999999940395","<img src='images/experiment/pair_5_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","357","202","images/experiment/pair_5_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","11","138683","0.0-5.0-0.6","7df33","20210929","1419","V4-20210927","","","","","3624.6000000089407","<img src='images/experiment/pair_5_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","247","478","images/experiment/pair_5_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","12","142694","0.0-5.0-0.7","7df33","20210929","1419","V4-20210927","","","","","4004.2000000029802","<img src='images/experiment/41_start.png' height = '350'><br>How much do you like this image?","194","98","images/experiment/41_start.png","","","","","","",""
"","html-slider-response","13","146311","0.0-5.0-0.8","7df33","20210929","1419","V4-20210927","","","","","3609.5","<img src='images/experiment/pair_64_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","254","427","images/experiment/pair_64_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","14","149515","0.0-5.0-0.9","7df33","20210929","1419","V4-20210927","","","","","3198.9000000059605","<img src='images/experiment/pair_37_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","332","93","images/experiment/pair_37_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","15","153238","0.0-5.0-0.10","7df33","20210929","1419","V4-20210927","","","","","3717.9000000059605","<img src='images/experiment/37_start.png' height = '350'><br>How much do you like this image?","255","160","images/experiment/37_start.png","","","","","","",""
"","html-slider-response","16","156929","0.0-5.0-0.11","7df33","20210929","1419","V4-20210927","","","","","3673.2000000029802","<img src='images/experiment/pair_37_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","157","282","images/experiment/pair_37_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","17","160988","0.0-5.0-0.12","7df33","20210929","1419","V4-20210927","","","","","4053.1000000089407","<img src='images/experiment/57_start.png' height = '350'><br>How much do you like this image?","113","176","images/experiment/57_start.png","","","","","","",""
"","html-slider-response","18","165762","0.0-5.0-0.13","7df33","20210929","1419","V4-20210927","","","","","4768.4000000059605","<img src='images/experiment/pair_92_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","177","446","images/experiment/pair_92_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","19","169054","0.0-5.0-0.14","7df33","20210929","1419","V4-20210927","","","","","3286.4000000059605","<img src='images/experiment/pair_37_101_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","64","105","images/experiment/pair_37_101_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","20","173201","0.0-5.0-0.15","7df33","20210929","1419","V4-20210927","","","","","4140.800000011921","<img src='images/experiment/pair_101_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","312","325","images/experiment/pair_101_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","21","176903","0.0-5.0-0.16","7df33","20210929","1419","V4-20210927","","","","","3696.7999999970198","<img src='images/experiment/pair_101_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","353","268","images/experiment/pair_101_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","22","180571","0.0-5.0-0.17","7df33","20210929","1419","V4-20210927","","","","","3662.4000000059605","<img src='images/experiment/pair_5_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","171","318","images/experiment/pair_5_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","23","185547","0.0-5.0-0.18","7df33","20210929","1419","V4-20210927","","","","","4962.20000000298","<img src='images/experiment/pair_101_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","293","489","images/experiment/pair_101_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","24","189951","0.0-5.0-0.19","7df33","20210929","1419","V4-20210927","","","","","4397.5","<img src='images/experiment/pair_37_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","166","239","images/experiment/pair_37_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","25","193442","0.0-5.0-0.20","7df33","20210929","1419","V4-20210927","","","","","3485.9000000059605","<img src='images/experiment/pair_101_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","307","428","images/experiment/pair_101_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","26","196534","0.0-5.0-0.21","7df33","20210929","1419","V4-20210927","","","","","3085.2000000029802","<img src='images/experiment/92_start.png' height = '350'><br>How much do you like this image?","188","107","images/experiment/92_start.png","","","","","","",""
"","html-slider-response","27","200707","0.0-5.0-0.22","7df33","20210929","1419","V4-20210927","","","","","4166.79999999702","<img src='images/experiment/pair_37_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","244","340","images/experiment/pair_37_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","28","204680","0.0-5.0-0.23","7df33","20210929","1419","V4-20210927","","","","","3966.9000000059605","<img src='images/experiment/pair_37_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","214","194","images/experiment/pair_37_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","29","209549","0.0-5.0-0.24","7df33","20210929","1419","V4-20210927","","","","","4862.79999999702","<img src='images/experiment/pair_92_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","53","225","images/experiment/pair_92_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","30","213149","0.0-5.0-0.25","7df33","20210929","1419","V4-20210927","","","","","3592.7999999970198","<img src='images/experiment/pair_101_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","266","216","images/experiment/pair_101_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","31","216894","0.0-5.0-0.26","7df33","20210929","1419","V4-20210927","","","","","3739.4000000059605","<img src='images/experiment/pair_92_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","114","189","images/experiment/pair_92_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","32","220014","0.0-5.0-0.27","7df33","20210929","1419","V4-20210927","","","","","3115.300000011921","<img src='images/experiment/pair_37_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","252","362","images/experiment/pair_37_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","33","223956","0.0-5.0-0.28","7df33","20210929","1419","V4-20210927","","","","","3937","<img src='images/experiment/pair_37_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","23","226","images/experiment/pair_37_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","34","227401","0.0-5.0-0.29","7df33","20210929","1419","V4-20210927","","","","","3440","<img src='images/experiment/pair_101_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","412","302","images/experiment/pair_101_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","35","231472","0.0-5.0-0.30","7df33","20210929","1419","V4-20210927","","","","","4065.3999999910593","<img src='images/experiment/pair_64_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","290","66","images/experiment/pair_64_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","36","235386","0.0-5.0-0.31","7df33","20210929","1419","V4-20210927","","","","","3907.4000000059605","<img src='images/experiment/pair_5_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","259","210","images/experiment/pair_5_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","37","238545","0.0-5.0-0.32","7df33","20210929","1419","V4-20210927","","","","","3154.6000000089407","<img src='images/experiment/pair_5_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","192","328","images/experiment/pair_5_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","38","241628","0.0-5.0-0.33","7df33","20210929","1419","V4-20210927","","","","","3072.7999999970198","<img src='images/experiment/pair_5_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","181","204","images/experiment/pair_5_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","39","244599","0.0-5.0-0.34","7df33","20210929","1419","V4-20210927","","","","","2967.0999999940395","<img src='images/experiment/pair_37_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","155","413","images/experiment/pair_37_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","40","248832","0.0-5.0-0.35","7df33","20210929","1419","V4-20210927","","","","","4228.29999999702","<img src='images/experiment/pair_5_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","270","3","images/experiment/pair_5_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","41","251979","0.0-5.0-0.36","7df33","20210929","1419","V4-20210927","","","","","3140.4000000059605","<img src='images/experiment/pair_37_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","233","208","images/experiment/pair_37_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","42","255637","0.0-5.0-0.37","7df33","20210929","1419","V4-20210927","","","","","3653.7999999970198","<img src='images/experiment/pair_64_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","299","424","images/experiment/pair_64_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","43","261304","0.0-5.0-0.38","7df33","20210929","1419","V4-20210927","","","","","5662","<img src='images/experiment/pair_5_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","181","5","images/experiment/pair_5_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","44","264540","0.0-5.0-0.39","7df33","20210929","1419","V4-20210927","","","","","3229.7000000029802","<img src='images/experiment/pair_64_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","136","467","images/experiment/pair_64_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","45","268562","0.0-5.0-0.40","7df33","20210929","1419","V4-20210927","","","","","4012.2000000029802","<img src='images/experiment/pair_5_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","323","8","images/experiment/pair_5_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","46","272023","0.0-5.0-0.41","7df33","20210929","1419","V4-20210927","","","","","3454.7000000029802","<img src='images/experiment/pair_37_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","139","342","images/experiment/pair_37_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","47","275087","0.0-5.0-0.42","7df33","20210929","1419","V4-20210927","","","","","3058.2000000029802","<img src='images/experiment/pair_37_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","94","158","images/experiment/pair_37_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","48","279602","0.0-5.0-0.43","7df33","20210929","1419","V4-20210927","","","","","4508.29999999702","<img src='images/experiment/pair_64_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","66","404","images/experiment/pair_64_41_out_tensor(0.5000).png","","","","","","",""
