"success","trial_type","trial_index","time_elapsed","internal_node_id","id","date","time","version","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","slider_start","image_name","view_history","value","thumbnail_name","attention_check","calculated_reaction_time","onset_time","question_order"
"true","fullscreen","0","2818","0.0-0.0","jeu26","20210928","1839","V4-20210927","","","","","","","","","","","","","","","",""
"true","preload","1","5947","0.0-1.0","jeu26","20210928","1839","V4-20210927","false","[]","[]","[]","","","","","","","","","","","",""
"","html-button-response","2","8305","0.0-2.0","jeu26","20210928","1839","V4-20210927","","","","","2357","
        <div class=""consentBox"">
        <h1>Consent to Participate in the Aesthetics Study</h1>

        <p>This is a psychology experiment being conducted by Dr. Peter Dayan, 
        director of the Max Planck Institute for Biological Cybernetics, and the 
        members of his lab. In order to consent to participate, you MUST meet the 
        following criteria:</p>

        <p>
        - 18 years of age or older<br>
        - Fluent speaker of English<br>
        - Have not previously participated in this experiment<br></p>

        <p>This study is designed to look at how people learn how to make decisions 
        to accomplish their goals. In this task, you will be asked to make choices, 
        play games, and answer questions related to those games. The study will take 
        about 40 minutes and will pay $12/hour plus a attention-dependent bonus of 
        up to a maximum of $1. The performance bonus is explained in more detail in 
        the instructions that follow.</p> 

        <p>Your participation in this research is voluntary. You may refrain from 
        answering any questions that make you uncomfortable and may withdraw your 
        participation at any time without penalty by exiting this task and alerting 
        the experimenter. You may choose not to complete certain parts of the task 
        or answer certain questions. You may contact us at the address provided 
        below if you have additional questions or concerns.</p> 

        <p>Other than monetary compensation, participating in this study will 
        provide no direct benefits to you. But we hope that this research will 
        benefit society at large by contributing towards establishing a scientific 
        foundation for improving people's learning and cognitive control abilities.</p>

        <p>Your online username may be connected to your individual responses, but 
        we will not be asking for any additional personally identifying information, 
        and we will handle responses as confidentially as possible. We cannot however 
        guarantee the confidentiality of information transmitted over the Internet. 
        We will be keeping de-identified data collected as part of this experiment 
        indefinitely. Data used in scientific publications will remain completely 
        anonymous.</p>

        <p>If you have any questions about the study, feel free to contact our lab. 
        Dr. Dayan and his lab members can be reached at kyblab.tuebingen+aesthetics@gmail.com</p>

        <p>By selecting the 'consent' option below, I acknowledge that I am 18 years or 
        older, that I am a fluent speaker of English, that I have read this consent 
        form, and that I agree to take part in the research.</p>
        </div>
    ","0","","","","","","","","",""
"","html-button-response","3","29308","0.0-3.0","jeu26","20210928","1839","V4-20210927","","","","","21003","
        <div class=""introBox"">
        <h1>Overview</h1>

        <p>Thank you for participating in our study.<br> 
        This study consists of four main parts and will take about 45 minutes in
        total to complete.</p>

        <p>In the first part, you will see a series of images. We will ask you
        to tell us your opinion on each of them. <i>(~ 7 min)</i></p>

        <p>In the second part, we will show you the images from the first part again.
        You will be free to view each image for as long as you want before moving
        on to the next. <i>(15 min)</i></p>
        
        <p>The third part will be the same task as the first part. <i>(~ 7 min)</i></p>
        
        <p>At the end of the study, we will also ask you some questions about
        yourself. <i>(~ 10 min)</i></p>

        <p>We will give you detailed instructions before the start of each part of 
        the study.<br> 
        We ask you not to take breaks during each of the study's individual parts. 
        Please feel free to take breaks as needed between the three parts of this 
        study.</p>
        
        <p>Click on the button below to start the experiment.</p>
        </div>","0","","","","","","","","",""
"","html-button-response","4","45936","0.0-4.0","jeu26","20210928","1839","V4-20210927","","","","","16627","
        <div class=""introBox"">
        <h1>Rating</h1>

        <p>In the first part of the study, you will rate several different images 
        according to how much you like them. You will use a slider ranging from
        'not at all' to 'very much' to indicate how much you like each image. Please
        try to use the full range of the slider. That is, rate the image you like
        the least 'not at all' and the image you liked the most 'very much'.</p>

        <p>Focus on your own impression. It does not matter how others would judge 
        them. It also does not matter what the image depicts. Simply tell us how 
        much you like the image.<br>
        Again, there are no right or wrong answers. We simply want to know your 
        personal opinion.</p>

        <p>Click on 'Continue' to start the ratings.</p>
        </div>","0","","","","","","","","",""
"","html-slider-response","5","48666","0.0-5.0-0.0","jeu26","20210928","1839","V4-20210927","","","","","2726","<img src='images/experiment/pair_92_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","423","277","images/experiment/pair_92_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","6","50995","0.0-5.0-0.1","jeu26","20210928","1839","V4-20210927","","","","","2328","<img src='images/experiment/pair_5_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","465","153","images/experiment/pair_5_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","7","54545","0.0-5.0-0.2","jeu26","20210928","1839","V4-20210927","","","","","3549","<img src='images/experiment/pair_5_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","155","111","images/experiment/pair_5_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","8","57459","0.0-5.0-0.3","jeu26","20210928","1839","V4-20210927","","","","","2912","<img src='images/experiment/pair_37_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","326","350","images/experiment/pair_37_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","9","60299","0.0-5.0-0.4","jeu26","20210928","1839","V4-20210927","","","","","2838","<img src='images/experiment/pair_5_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","122","61","images/experiment/pair_5_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","10","62438","0.0-5.0-0.5","jeu26","20210928","1839","V4-20210927","","","","","2138","<img src='images/experiment/pair_92_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","336","172","images/experiment/pair_92_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","11","64411","0.0-5.0-0.6","jeu26","20210928","1839","V4-20210927","","","","","1972","<img src='images/experiment/pair_37_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","452","145","images/experiment/pair_37_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","12","66561","0.0-5.0-0.7","jeu26","20210928","1839","V4-20210927","","","","","2150","<img src='images/experiment/pair_64_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","338","280","images/experiment/pair_64_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","13","68646","0.0-5.0-0.8","jeu26","20210928","1839","V4-20210927","","","","","2083","<img src='images/experiment/pair_64_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","392","324","images/experiment/pair_64_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","14","71777","0.0-5.0-0.9","jeu26","20210928","1839","V4-20210927","","","","","3130","<img src='images/experiment/pair_101_57_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","230","388","images/experiment/pair_101_57_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","15","74988","0.0-5.0-0.10","jeu26","20210928","1839","V4-20210927","","","","","3210","<img src='images/experiment/pair_5_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","483","77","images/experiment/pair_5_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","16","77119","0.0-5.0-0.11","jeu26","20210928","1839","V4-20210927","","","","","2130","<img src='images/experiment/pair_101_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","89","393","images/experiment/pair_101_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","17","79233","0.0-5.0-0.12","jeu26","20210928","1839","V4-20210927","","","","","2112","<img src='images/experiment/pair_37_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","305","167","images/experiment/pair_37_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","18","81373","0.0-5.0-0.13","jeu26","20210928","1839","V4-20210927","","","","","2140","<img src='images/experiment/pair_5_101_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","191","19","images/experiment/pair_5_101_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","19","84531","0.0-5.0-0.14","jeu26","20210928","1839","V4-20210927","","","","","3157","<img src='images/experiment/pair_37_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","309","357","images/experiment/pair_37_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","20","86811","0.0-5.0-0.15","jeu26","20210928","1839","V4-20210927","","","","","2280","<img src='images/experiment/pair_5_101_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","314","252","images/experiment/pair_5_101_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","21","89855","0.0-5.0-0.16","jeu26","20210928","1839","V4-20210927","","","","","3042","<img src='images/experiment/64_start.png' height = '350'><br>How much do you like this image?","0","368","images/experiment/64_start.png","","","","","","",""
"","html-slider-response","22","92520","0.0-5.0-0.17","jeu26","20210928","1839","V4-20210927","","","","","2664","<img src='images/experiment/pair_101_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","305","9","images/experiment/pair_101_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","23","94353","0.0-5.0-0.18","jeu26","20210928","1839","V4-20210927","","","","","1832","<img src='images/experiment/pair_101_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","245","122","images/experiment/pair_101_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","24","98935","0.0-5.0-0.19","jeu26","20210928","1839","V4-20210927","","","","","4579","<img src='images/experiment/92_start.png' height = '350'><br>How much do you like this image?","74","152","images/experiment/92_start.png","","","","","","",""
"","html-slider-response","25","100950","0.0-5.0-0.20","jeu26","20210928","1839","V4-20210927","","","","","2015","<img src='images/experiment/pair_92_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","296","385","images/experiment/pair_92_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","26","105954","0.0-5.0-0.21","jeu26","20210928","1839","V4-20210927","","","","","5002","<img src='images/experiment/pair_37_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","404","170","images/experiment/pair_37_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","27","108520","0.0-5.0-0.22","jeu26","20210928","1839","V4-20210927","","","","","2565","<img src='images/experiment/pair_64_41_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","21","338","images/experiment/pair_64_41_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","28","110695","0.0-5.0-0.23","jeu26","20210928","1839","V4-20210927","","","","","2174","<img src='images/experiment/pair_37_57_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","276","240","images/experiment/pair_37_57_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","29","113634","0.0-5.0-0.24","jeu26","20210928","1839","V4-20210927","","","","","2937","<img src='images/experiment/pair_5_92_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","119","11","images/experiment/pair_5_92_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","30","116913","0.0-5.0-0.25","jeu26","20210928","1839","V4-20210927","","","","","3278","<img src='images/experiment/pair_5_64_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","11","25","images/experiment/pair_5_64_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","31","119510","0.0-5.0-0.26","jeu26","20210928","1839","V4-20210927","","","","","2596","<img src='images/experiment/pair_101_64_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","297","334","images/experiment/pair_101_64_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","32","121645","0.0-5.0-0.27","jeu26","20210928","1839","V4-20210927","","","","","2133","<img src='images/experiment/pair_101_64_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","377","420","images/experiment/pair_101_64_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","33","125011","0.0-5.0-0.28","jeu26","20210928","1839","V4-20210927","","","","","3365","<img src='images/experiment/pair_5_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","203","133","images/experiment/pair_5_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","34","127976","0.0-5.0-0.29","jeu26","20210928","1839","V4-20210927","","","","","2964","<img src='images/experiment/101_start.png' height = '350'><br>How much do you like this image?","38","163","images/experiment/101_start.png","","","","","","",""
"","html-slider-response","35","130159","0.0-5.0-0.30","jeu26","20210928","1839","V4-20210927","","","","","2181","<img src='images/experiment/pair_37_41_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","297","28","images/experiment/pair_37_41_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","36","132613","0.0-5.0-0.31","jeu26","20210928","1839","V4-20210927","","","","","2453","<img src='images/experiment/pair_37_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","410","462","images/experiment/pair_37_92_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","37","135566","0.0-5.0-0.32","jeu26","20210928","1839","V4-20210927","","","","","2951","<img src='images/experiment/pair_5_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","186","95","images/experiment/pair_5_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","38","137942","0.0-5.0-0.33","jeu26","20210928","1839","V4-20210927","","","","","2376","<img src='images/experiment/41_start.png' height = '350'><br>How much do you like this image?","353","405","images/experiment/41_start.png","","","","","","",""
"","html-slider-response","39","140221","0.0-5.0-0.34","jeu26","20210928","1839","V4-20210927","","","","","2278","<img src='images/experiment/pair_92_57_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","351","284","images/experiment/pair_92_57_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","40","142617","0.0-5.0-0.35","jeu26","20210928","1839","V4-20210927","","","","","2395","<img src='images/experiment/pair_37_101_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","161","335","images/experiment/pair_37_101_out_tensor(0.6667).png","","","","","","",""
"","html-slider-response","41","145035","0.0-5.0-0.36","jeu26","20210928","1839","V4-20210927","","","","","2417","<img src='images/experiment/pair_37_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","270","90","images/experiment/pair_37_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","42","146854","0.0-5.0-0.37","jeu26","20210928","1839","V4-20210927","","","","","1818","<img src='images/experiment/pair_101_92_out_tensor(0.5000).png' height = '350'><br>How much do you like this image?","362","425","images/experiment/pair_101_92_out_tensor(0.5000).png","","","","","","",""
"","html-slider-response","43","149498","0.0-5.0-0.38","jeu26","20210928","1839","V4-20210927","","","","","2643","<img src='images/experiment/57_start.png' height = '350'><br>How much do you like this image?","117","42","images/experiment/57_start.png","","","","","","",""
"","html-slider-response","44","152261","0.0-5.0-0.39","jeu26","20210928","1839","V4-20210927","","","","","2762","<img src='images/experiment/pair_5_41_out_tensor(0.3333).png' height = '350'><br>How much do you like this image?","491","64","images/experiment/pair_5_41_out_tensor(0.3333).png","","","","","","",""
"","html-slider-response","45","154755","0.0-5.0-0.40","jeu26","20210928","1839","V4-20210927","","","","","2493","<img src='images/experiment/pair_101_92_out_tensor(0.6667).png' height = '350'><br>How much do you like this image?","80","142","images/experiment/pair_101_92_out_tensor(0.6667).png","","","","","","",""
